"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
64296,143,97,0.678321678321678
64297,58,17,0.293103448275862
64298,67,44,0.656716417910448
64299,42,30,0.714285714285714
64300,258,60,0.232558139534884
64301,24,4,0.166666666666667
64303,59,38,0.644067796610169
64304,24,8,0.333333333333333
64305,263,69,0.262357414448669
64306,151,75,0.496688741721854
64308,78,4,0.0512820512820513
64310,172,55,0.319767441860465
64312,66,11,0.166666666666667
64315,10,3,0.3
64316,90,4,0.0444444444444444
64317,150,9,0.06
64318,53,22,0.415094339622642
64319,67,6,0.0895522388059701
64320,34,3,0.0882352941176471
64321,49,10,0.204081632653061
64322,57,11,0.192982456140351
64323,147,58,0.394557823129252
64324,196,336,1
64325,177,34,0.192090395480226
64327,53,21,0.39622641509434
64330,54,25,0.462962962962963
64331,20,4,0.2
64332,28,7,0.25
64333,170,101,0.594117647058824
64335,44,11,0.25
64336,106,77,0.726415094339623
64339,37,28,0.756756756756757
64340,11,7,0.636363636363636
64341,12,202,1
64342,153,115,0.751633986928105
64343,53,33,0.622641509433962
64344,207,82,0.396135265700483
64345,199,60,0.301507537688442
64347,55,35,0.636363636363636
64348,47,11,0.234042553191489
64349,40,6,0.15
64350,172,13,0.0755813953488372
64351,97,62,0.639175257731959
64353,9,3,0.333333333333333
64355,25,21,0.84
64361,1436,38,0.0264623955431755
64362,191,20,0.104712041884817
64365,13,15,1
64367,7,4,0.571428571428571
64370,248,107,0.431451612903226
64371,21,11,0.523809523809524
64372,250,79,0.316
64373,135,23,0.17037037037037
64375,39,20,0.512820512820513
64376,383,111,0.289817232375979
64377,74,15,0.202702702702703
64378,50,6,0.12
64379,22,63,1
64380,972,254,0.261316872427984
64382,32,141,1
64386,32,109,1
64388,31,8,0.258064516129032
64389,14,21,1
64391,23,3,0.130434782608696
64392,48,9,0.1875
64395,255,24,0.0941176470588235
64396,22,19,0.863636363636364
64399,27,4,0.148148148148148
64400,49,15,0.306122448979592
64401,2428,1413,0.581960461285008
64402,20,5,0.25
64403,88,48,0.545454545454545
64404,28,8,0.285714285714286
64405,200,8,0.04
64407,69,51,0.739130434782609
64408,178,24,0.134831460674157
64409,18,3,0.166666666666667
64410,59,5,0.0847457627118644
64411,165,79,0.478787878787879
64413,203,78,0.38423645320197
64417,166,23,0.13855421686747
64419,114,71,0.62280701754386
64421,103,18,0.174757281553398
64422,53,8,0.150943396226415
64424,20,5,0.25
64425,40,36,0.9
64427,9,5,0.555555555555556
64432,240,48,0.2
64433,360,199,0.552777777777778
64434,9,47,1
64439,373,62,0.166219839142091
64440,85,7,0.0823529411764706
64444,17,163,1
64447,83,57,0.686746987951807
64449,90,121,1
64453,355,76,0.214084507042254
64454,244,36,0.147540983606557
64456,13,17,1
64457,171,46,0.269005847953216
64458,143,69,0.482517482517482
64460,214,112,0.523364485981308
64463,134,64,0.477611940298507
64464,76,35,0.460526315789474
64465,12,7,0.583333333333333
64468,139,6,0.0431654676258993
64469,44,16,0.363636363636364
64471,18,16,0.888888888888889
64472,65,24,0.369230769230769
64474,60,13,0.216666666666667
64475,136,102,0.75
64477,515,77,0.149514563106796
64478,35,34,0.971428571428571
64479,7,6,0.857142857142857
64480,19,114,1
64481,71,85,1
64482,165,31,0.187878787878788
64483,5,11,1
64484,29,4,0.137931034482759
64485,8,10,1
64487,25,4,0.16
64488,98,197,1
64489,77,304,1
64490,60,19,0.316666666666667
64491,101,8,0.0792079207920792
64493,17,23,1
64494,964,1545,1
64495,38,14,0.368421052631579
64496,662,223,0.336858006042296
64498,275,12,0.0436363636363636
64499,138,81,0.58695652173913
64501,338,191,0.56508875739645
64502,379,53,0.139841688654354
64503,70,89,1
64505,43,24,0.558139534883721
64506,16,3,0.1875
64507,57,90,1
64509,96,155,1
64514,72,10,0.138888888888889
64515,47,8,0.170212765957447
64517,29,3,0.103448275862069
64518,22,40,1
64520,25,7,0.28
64523,37,79,1
64526,463,311,0.67170626349892
64527,35,13,0.371428571428571
64528,35,7,0.2
64529,100,6,0.06
64530,130,14,0.107692307692308
64534,18,131,1
64535,74,8,0.108108108108108
64537,200,8,0.04
64538,36,23,0.638888888888889
64540,92,28,0.304347826086957
64541,36,14,0.388888888888889
64543,39,10,0.256410256410256
64545,51,44,0.862745098039216
64547,40,26,0.65
64549,37,18,0.486486486486487
64550,209,155,0.741626794258373
64552,107,56,0.523364485981308
64554,15,4,0.266666666666667
64555,271,186,0.686346863468635
64556,17,18,1
64557,31,17,0.548387096774194
