TAWSuffix,City,State,StreetAddress,Zip,AUTO_UNIQUE_ID_2019-03-19_njbell89_field_site_unm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
73526,St. Marys,PA,,,295,USCGeocoder,15.6173,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,257763013,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,41.45746601,-78.53417748,Relaxed;Soundex,TwoThousandTen,67344,,,67344,1,41260,1054,1,9512,47,42,9,Missing
73576,Winston Salem,NC,,,296,USCGeocoder,187.4723,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,346269875,ArealInterpolationGeometricCentroid,City,33.33333333,FeatureClassBased,FlipACoin,,CityCentroid,,,1,36.1032616,-80.2605782,Relaxed;Soundex,TwoThousandTen,,480,,,0,49180,1056,1,2,67,37,9,Missing
73617,Allentown (Trexlertown),PA,,,297,USCGeocoder,109.3555,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,46683430.52,ArealInterpolationGeometricCentroid,City,26.36363636,FeatureClassBased,FlipACoin,,CityCentroid,,,1,40.59610027,-75.47553833,Relaxed;Soundex,TwoThousandTen,2000,240,,2000,0,10900,1001,1,14.01,77,42,9,Missing
73667,Bristol,RI,,,298,USCGeocoder,0,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,53367227.99,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,41.67612732,-71.27328702,Relaxed;Soundex,TwoThousandTen,,5520,,9280,0,39300,1004,1,307,1,44,9,Missing
73672,Elma,NY,,,299,USCGeocoder,15.5304,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,16196464.64,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,42.82830837,-78.63428541,Relaxed;Soundex,TwoThousandTen,24141,1280,,24130,0,15380,1019,1,141.01,29,36,9,Missing
73693,Research Triangle Park,NC,,,300,USCGeocoder,15.5024,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,94222352.49,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,36.07153823,-79.58023557,Relaxed;Soundex,TwoThousandTen,73760,3120,,92716,0,24660,3047,3,152,81,37,9,Missing
73728,St. Peters,MO,,,302,USCGeocoder,156.2198,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,57930068,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,38.7835202,-90.6050746,Relaxed;Soundex,TwoThousandTen,,1740,,65130,0,41180,3016,3,3113.11,183,29,9,Missing
73772,Waterford,MI,,,303,USCGeocoder,46.7057,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,3193812.089,ArealInterpolationGeometricCentroid,City,27.77777778,FeatureClassBased,FlipACoin,,CityCentroid,,,1,42.18837238,-86.25778276,Relaxed;Soundex,TwoThousandTen,84500,870,,84500,0,35660,4026,4,103,21,26,6,ResidenceCityOrZIPWithOneCensusTract
73773,Redford,MI,,,304,USCGeocoder,78.0138,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,2559909.631,ArealInterpolationGeometricCentroid,City,15.71428571,FeatureClassBased,FlipACoin,,CityCentroid,,,1,43.50753295,-86.34768523,Relaxed;Soundex,TwoThousandTen,69880,,,34400,,,5048,5,103,127,26,6,ResidenceCityOrZIPWithOneCensusTract
73783,Lonestar,TX,,,305,USCGeocoder,15.6456,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,5179458.189,ArealInterpolationGeometricCentroid,City,10,FeatureClassBased,FlipACoin,,CityCentroid,,,1,32.93928129,-94.70904796,Relaxed;Soundex,TwoThousandTen,43684,,,90940,,,5021,5,9502,343,48,6,ResidenceCityOrZIPWithOneCensusTract
