Combo.FIPS,CBP.2.Digit.NAICS,employees
1039,44,1874
1039,48,461
1039,51,99
1039,52,302
1039,53,132
1039,54,333
1039,55,19
1039,56,450
1039,61,19
1039,62,1797
1039,71,99
1039,72,888
1039,81,450
1039,99,19
1041,0,3212
1041,11,161
1041,21,19
1041,22,19
1041,23,124
1041,31,1033
1041,42,346
1041,44,329
1041,48,249
1041,52,87
1041,53,99
1041,54,40
1041,55,19
1041,56,19
1041,61,99
1041,62,482
1041,71,19
1041,72,189
1041,81,84
1043,0,22761
1043,11,186
1043,21,99
1043,22,249
1043,23,1494
1043,31,4846
1043,42,855
1043,44,3361
1043,48,2200
1043,51,187
1043,52,722
1043,53,182
1043,54,496
1043,55,99
1043,56,685
1043,61,88
1043,62,3669
1043,71,112
1043,72,2306
1043,81,1127
1043,99,19
1045,0,13221
1045,11,99
1045,22,96
1045,23,923
1045,31,629
1045,42,207
1045,44,1251
1045,48,4999
1045,51,99
1045,52,338
1045,53,122
1045,54,717
1045,55,302
1045,56,249
1045,61,999
1045,62,1397
1045,71,99
1045,72,1069
1045,81,541
1045,99,0
1047,0,11745
1047,11,69
1047,21,99
1047,22,101
1047,23,375
1047,31,3777
1047,42,283
1047,44,1940
1047,48,65
1047,51,99
1047,52,351
1047,53,111
1047,54,213
1047,55,99
1047,56,170
1047,61,372
1047,62,2125
1047,71,99
1047,72,864
1047,81,732
1049,0,17512
1049,11,19
1049,21,19
1049,22,99
1049,23,558
1049,31,7059
1049,42,461
1049,44,2415
1049,48,832
1049,51,249
1049,52,484
1049,53,146
1049,54,373
1049,55,48
1049,56,499
1049,61,82
1049,62,2202
1049,71,106
1049,72,1514
1049,81,467
1049,99,19
1051,0,14374
1051,11,70
1051,21,19
1051,22,133
1051,23,1109
1051,31,3185
1051,42,262
1051,44,3032
1051,48,280
1051,51,115
1051,52,406
1051,53,112
1051,54,474
1051,56,205
1051,61,319
1051,62,2098
1051,71,461
1051,72,1217
1051,81,878
1051,99,19
1053,0,9769
1053,11,147
1053,21,211
1053,22,93
1053,23,502
1053,31,1445
1053,42,356
1053,44,1748
1053,48,428
1053,51,241
1053,52,444
1053,53,94
1053,54,180
1053,55,59
1053,56,111
1053,61,99
1053,62,1315
1053,71,2499
1053,72,709
1053,81,458
1053,99,19
1055,0,29773
1055,11,99
1055,21,19
1055,22,249
1055,23,1431
1055,31,4611
1055,42,1191
1055,44,4725
1055,48,832
1055,51,376
1055,52,1019
1055,53,410
1055,54,775
1055,55,99
1055,56,1706
1055,61,219
1055,62,6907
1055,71,260
1055,72,3440
1055,81,1538
1055,99,19
1057,0,3886
1057,11,137
1057,21,499
1057,22,99
1057,23,117
1057,31,778
1057,42,99
1057,44,609
1057,48,103
1057,51,99
1057,52,99
1057,53,19
1057,54,50
1057,55,19
1057,56,4
1057,61,19
1057,62,920
1057,71,19
1057,72,319
1057,81,134
1057,99,19
1059,0,8984
1059,11,99
1059,21,19
1059,22,99
1059,23,230
1059,31,4999
1059,42,155
1059,44,962
1059,48,175
1059,51,51
1059,52,395
1059,53,99
1059,54,249
1059,55,99
1059,56,999
1059,62,1330
1059,71,19
1059,72,538
1059,81,254
1061,0,4199
1061,11,26
1061,21,19
1061,22,99
1061,23,276
1061,31,999
1061,42,499
1061,44,787
1061,48,249
1061,52,188
1061,53,28
1061,54,69
1061,55,99
1061,56,249
1061,61,19
1061,62,999
1061,71,19
1061,72,238
1061,81,151
1063,0,1430
1063,11,27
1063,22,19
1063,23,117
1063,31,365
1063,42,19
1063,44,193
1063,48,19
1063,51,19
1063,52,99
1063,54,19
1063,55,19
1063,56,99
1063,61,99
1063,62,249
1063,71,499
1063,72,23
1063,81,38
1065,0,2314
1065,11,76
1065,22,19
1065,23,172
1065,31,999
1065,42,99
1065,44,358
1065,48,36
1065,51,19
1065,52,76
1065,53,19
1065,54,99
1065,55,19
1065,56,14
1065,61,99
1065,62,499
1065,71,19
1065,72,90
1065,81,78
1067,0,2722
1067,11,133
1067,21,19
1067,22,99
1067,23,294
1067,31,238
1067,42,138
1067,44,499
1067,48,499
1067,51,19
1067,52,124
1067,53,12
1067,54,99
1067,55,99
1067,56,99
1067,61,99
1067,62,385
1067,71,19
1067,72,159
1067,81,162
1067,99,19
1069,0,43725
1069,11,19
1069,22,2499
1069,23,2234
1069,31,4924
1069,42,2681
1069,44,7913
1069,48,1279
1069,51,1122
1069,52,1105
1069,53,510
1069,54,1278
1069,55,870
1069,56,1797
1069,61,427
1069,62,9548
1069,71,349
1069,72,4435
1069,81,2126
1069,99,19
1071,0,11137
1071,11,99
1071,21,19
1071,22,99
1071,23,361
1071,31,4457
1071,42,413
1071,44,1884
1071,48,162
1071,51,75
1071,52,499
1071,53,99
1071,54,262
1071,55,99
1071,56,249
1071,61,99
1071,62,1516
1071,71,19
1071,72,916
1071,81,408
1071,99,19
1073,0,325281
1073,11,249
1073,21,1526
1073,22,9999
1073,23,24418
1073,31,26343
1073,42,19079
1073,44,39984
1073,48,9657
1073,51,11137
1073,52,22528
1073,53,7509
1073,54,19393
1073,55,8300
1073,56,20662
1073,61,6374
1073,62,53386
1073,71,3733
1073,72,26014
1073,81,18996
1073,99,99
1075,0,2875
1075,11,85
1075,21,19
1075,22,19
1075,23,60
1075,31,2499
1075,42,34
1075,44,336
1075,48,420
1075,51,19
1075,52,249
1075,53,22
1075,54,60
1075,56,99
1075,62,325
1075,71,19
1075,72,151
1075,81,117
1077,0,25727
1077,11,105
1077,22,19
1077,23,1292
1077,31,4090
1077,42,1358
1077,44,4927
1077,48,208
1077,51,482
1077,52,849
1077,53,412
1077,54,852
1077,55,56
1077,56,895
1077,61,392
1077,62,4465
1077,71,216
1077,72,3582
1077,81,1538
1077,99,19
1079,0,4748
1079,11,99
1079,21,19
1079,22,99
1079,23,999
1079,31,1262
1079,42,99
1079,44,846
1079,48,93
1079,51,19
1079,52,118
1079,53,99
1079,54,132
1079,56,46
1079,61,21
1079,62,721
1079,71,19
1079,72,536
1079,81,266
1081,0,37367
1081,11,99
1081,21,71
1081,22,173
1081,23,2342
1081,31,5771
1081,42,1039
1081,44,6646
1081,48,1931
1081,51,572
1081,52,851
1081,53,608
1081,54,1042
1081,55,19
1081,56,2565
1081,61,203
1081,62,6025
1081,71,399
1081,72,5422
1081,81,1636
1081,99,7
1083,0,15993
1083,11,19
1083,21,19
1083,23,1058
1083,31,4430
1083,42,581
1083,44,2660
1083,48,1071
1083,51,274
1083,52,365
1083,53,163
1083,54,496
1083,55,99
1083,56,278
1083,61,99
1083,62,1794
1083,71,84
1083,72,1688
1083,81,909
1083,99,19
1085,0,2320
1085,11,38
1085,21,99
1085,22,19
1085,23,77
1085,31,1265
1085,42,99
1085,44,364
1085,48,54
1085,52,45
1085,53,12
1085,54,60
1085,56,19
1085,61,99
1085,62,112
1085,71,19
1085,72,19
1085,81,249
1085,99,19
1087,0,6433
1087,11,19
1087,21,19
1087,23,113
1087,31,499
1087,42,99
1087,44,410
1087,48,19
1087,51,99
1087,52,69
1087,53,99
1087,54,51
1087,56,43
1087,61,2499
1087,62,2499
1087,71,2499
1087,72,522
1087,81,102
1087,99,19
1089,0,154144
1089,11,99
1089,21,99
1089,22,19
1089,23,5257
1089,31,20946
1089,42,5629
1089,44,18753
1089,48,1917
1089,51,5947
1089,52,3525
1089,53,1837
1089,54,33214
1089,55,589
1089,56,12102
1089,61,2249
1089,62,19527
1089,71,1281
1089,72,14323
1089,81,6944
1089,99,4
1091,0,5963
1091,11,230
1091,22,249
1091,23,269
1091,31,1657
1091,42,132
1091,44,930
1091,48,249
1091,51,78
1091,52,249
1091,53,90
1091,54,99
1091,56,249
1091,61,99
1091,62,964
1091,71,99
1091,72,376
1091,81,281
1093,0,7378
1093,11,84
1093,21,99
1093,22,99
1093,23,125
1093,31,2349
1093,42,175
1093,44,1016
1093,48,375
1093,51,19
1093,52,357
1093,53,99
1093,54,76
1093,55,19
1093,56,999
1093,62,1230
1093,71,19
1093,72,543
1093,81,227
1093,99,19
1095,0,29951
1095,11,19
1095,21,99
1095,22,99
1095,23,1240
1095,31,9685
1095,42,2551
1095,44,4720
1095,48,709
1095,51,601
1095,52,760
1095,53,624
1095,54,668
1095,55,314
1095,56,786
1095,61,99
1095,62,3494
1095,71,131
1095,72,2521
1095,81,931
1095,99,19
1097,0,150599
1097,11,376
1097,21,368
1097,22,1267
1097,23,11228
1097,31,16065
1097,42,7788
1097,44,20427
1097,48,6078
1097,51,3090
1097,52,6297
1097,53,2199
1097,54,8198
1097,55,1803
1097,56,11020
1097,61,9999
1097,62,23433
1097,71,1680
1097,72,13746
1097,81,8365
1097,99,99
1099,0,6412
1099,11,208
1099,21,19
1099,22,45
1099,23,121
1099,31,1903
1099,42,119
1099,44,907
1099,48,715
1099,51,80
1099,52,190
1099,53,99
1099,54,99
1099,55,499
1099,56,105
1099,61,249
1099,62,782
1099,71,99
1099,72,337
1099,81,198
1099,99,19
1101,0,104319
1101,11,99
1101,21,31
1101,22,656
1101,23,5334
1101,31,12209
1101,42,5986
1101,44,13011
1101,48,4396
1101,51,2298
1101,52,5415
1101,53,2046
1101,54,6631
1101,55,1516
1101,56,8248
1101,61,2104
1101,62,16600
1101,71,1853
1101,72,9958
1101,81,5979
1101,99,22
1103,0,43314
1103,11,23
1103,21,99
1103,22,249
1103,23,2725
1103,31,12187
1103,42,2030
1103,44,5760
1103,48,1202
1103,51,384
1103,52,1468
1103,53,392
1103,54,1909
1103,55,281
1103,56,2348
1103,61,249
1103,62,6221
1103,71,213
1103,72,3725
1103,81,2072
1103,99,21
1105,0,1519
1105,11,19
1105,22,19
1105,23,57
1105,31,419
1105,42,80
1105,44,184
1105,48,19
1105,51,19
1105,52,70
1105,53,19
1105,54,99
1105,56,19
1105,61,499
1105,62,249
1105,72,75
1105,81,78
1107,0,2931
1107,11,90
1107,21,19
1107,22,99
1107,23,249
1107,31,612
1107,42,99
1107,44,477
1107,48,57
1107,51,19
1107,52,209
1107,53,22
1107,54,31
1107,56,19
1107,61,99
1107,62,714
1107,71,19
1107,72,156
1107,81,159
1109,0,10775
1109,11,32
1109,22,99
1109,23,529
1109,31,1497
1109,42,372
1109,44,1554
1109,48,2285
1109,51,141
1109,52,384
1109,53,106
1109,54,499
1109,55,99
1109,56,285
1109,61,99
1109,62,1295
1109,71,99
1109,72,1404
1109,81,344
1109,99,4
1111,0,3610
1111,11,71
1111,21,19
1111,22,99
1111,23,249
1111,31,876
1111,42,56
1111,44,721
1111,48,125
1111,51,61
1111,52,153
1111,53,40
1111,54,58
1111,56,19
1111,61,99
1111,62,753
1111,71,19
1111,72,331
1111,81,130
1111,99,19
1113,0,11030
1113,11,42
1113,21,19
1113,22,85
1113,23,870
1113,31,4999
1113,42,478
1113,44,1956
1113,48,186
1113,51,99
1113,52,400
1113,53,144
1113,54,242
1113,55,99
1113,56,129
1113,61,100
1113,62,1425
1113,71,99
1113,72,1394
1113,81,646
