"","NAME","state","county","county_fips","state_fips","C24030_001","C24030_029","B20005_003","B20005_050","B20005B_003","B20005B_050","B20005I_003","B20005I_050","B23013_001","B23006_005","B23006_012","B23006_019","B23006_026","B19013_001","year"
"7079","Lyon County, Nevada",32,"019","019","32",20198,9403,7526,6118,53,35,869,756,43.2,2051,6807,8268,2866,46598,2011
"7080","Cheshire County, New Hampshire",33,"005","005","33",39983,19928,13888,10627,49,0,235,84,41.4,2059,10810,9305,11293,55241,2011
"7081","Grafton County, New Hampshire",33,"009","009","33",44882,21528,17056,12575,202,59,273,69,42.3,2082,10794,9986,14208,53000,2011
"7082","Rockingham County, New Hampshire",33,"015","015","33",160848,75847,66565,43168,723,269,1138,720,44,5180,35513,43653,58269,77470,2011
"7083","Sullivan County, New Hampshire",33,"019","019","33",22574,11044,8539,6809,0,56,76,38,43.5,972,7804,5823,5348,51678,2011
"7084","Hillsborough County, New Hampshire",33,"011","011","33",213830,100321,87265,60350,1530,1020,3806,1942,41.9,10849,47806,57079,73354,70591,2011
"7085","Coos County, New Hampshire",33,"007","007","33",15574,7437,5698,4056,54,0,41,32,44.4,1166,5555,4498,2692,41087,2011
"7086","Carroll County, New Hampshire",33,"003","003","33",23544,11234,8292,5938,3,14,0,8,45.6,1144,6105,6925,6331,50555,2011
"7087","Mercer County, New Jersey",34,"021","021","34",175761,84240,69565,53171,9446,11659,11862,6166,40.5,13172,36902,38767,68028,73883,2011
"7088","Cumberland County, New Jersey",34,"011","011","34",64661,31306,25067,18903,3984,3676,6324,3943,39.9,9200,22518,16501,10409,52004,2011
"7089","Somerset County, New Jersey",34,"035","035","34",163764,76104,70642,49588,5318,5507,9189,5807,43.2,6579,28777,31627,84826,98842,2011
"7090","Ocean County, New Jersey",34,"029","029","34",242504,117002,92314,64919,2509,2645,8909,4865,42.2,14236,71409,66251,64137,60712,2011
"7091","Atlantic County, New Jersey",34,"001","001","34",129740,63571,48377,36633,5715,6471,8464,5291,42.1,13617,38788,34781,30886,55222,2011
"7092","Middlesex County, New Jersey",34,"023","023","34",395255,182818,168602,118950,12595,14050,30169,20696,40.6,24838,89038,84699,160657,78622,2011
"7093","Salem County, New Jersey",34,"033","033","34",29657,14305,11316,7909,936,988,618,359,43,2265,9994,8757,6282,57174,2011
"7094","Cape May County, New Jersey",34,"009","009","34",43734,20597,16752,11709,722,647,1068,622,44.2,2853,13027,11152,11681,55315,2011
"7095","Camden County, New Jersey",34,"007","007","34",244570,119896,95797,73369,13506,14806,11616,7733,40.9,18863,66812,63154,73755,61824,2011
"7096","Union County, New Jersey",34,"039","039","34",258459,121912,106732,81462,17557,21270,31668,21673,41.2,26497,67227,58425,85162,68688,2011
"7097","Hudson County, New Jersey",34,"017","017","34",322003,147981,138381,103264,13482,14041,53592,37270,36.8,37990,73612,63846,127798,57660,2011
"7098","Hunterdon County, New Jersey",34,"019","019","34",65345,30308,27693,17727,361,313,1311,765,45.7,1411,11206,14474,32616,103879,2011
"7099","Morris County, New Jersey",34,"027","027","34",252188,117585,106293,70739,3006,3086,12206,8058,43.5,9434,45549,48905,123089,98148,2011
"7100","Hidalgo County, New Mexico",35,"023","023","35",2075,1014,767,571,43,0,343,382,38.6,264,566,588,375,35532,2011
"7101","McKinley County, New Mexico",35,"031","031","35",24125,12040,8296,7381,164,59,1623,1026,40,3512,7626,7310,3322,31947,2011
"7102","Stevens County, Washington",53,"065","065","53",16866,8110,5978,4338,1,62,170,93,45.2,877,4791,6660,3483,44354,2011
"7103","Spokane County, Washington",53,"063","063","53",212594,102559,80039,56887,1563,500,2786,1973,39.6,8351,40603,76484,60027,49257,2011
"7104","Lincoln County, Washington",53,"043","043","53",4639,2223,1850,1190,0,0,52,10,46,217,1080,1739,988,46765,2011
"7105","Chelan County, Washington",53,"007","007","53",32187,15141,12711,8963,49,0,3530,2029,42.3,4834,7410,9370,7021,49509,2011
"7106","Jefferson County, Washington",53,"031","031","53",11855,5883,3706,2707,36,14,117,117,47.9,398,2728,4040,3658,46887,2011
"7107","Kitsap County, Washington",53,"035","035","53",107386,50663,50392,28329,1567,676,3248,1473,41.2,4864,21871,40192,29362,61112,2011
"7108","King County, Washington",53,"033","033","53",1014031,468534,404896,285131,18758,14910,32143,17637,39.6,54866,136614,267581,461615,70567,2011
"7109","Pacific County, Washington",53,"049","049","53",8012,3893,2853,1996,26,9,169,77,45.6,797,2139,2943,1359,40599,2011
"7110","Pend Oreille County, Washington",53,"051","051","53",4326,1809,1622,1027,3,16,38,78,44.8,300,1237,1735,806,38922,2011
"7111","San Juan County, Washington",53,"055","055","53",7811,3793,2637,1844,24,9,154,63,49,417,1418,2337,2691,51395,2011
"7112","Skamania County, Washington",53,"059","059","53",4789,2077,2017,1210,0,0,56,53,45.3,229,1286,1655,1183,52884,2011
"7113","Whitman County, Washington",53,"075","075","53",20406,9340,6089,3563,27,16,154,153,25.3,180,1824,3735,7430,35409,2011
"7114","Yakima County, Washington",53,"077","077","53",97922,45409,37302,26995,215,210,14488,9506,38.6,22169,22997,26484,15616,44419,2011
"7115","Clallam County, Washington",53,"009","009","53",27580,13504,9926,7333,90,53,427,328,44.4,1421,6542,10356,6040,46212,2011
"7116","Cowlitz County, Washington",53,"015","015","53",41229,18977,15481,9811,77,0,890,415,41.4,3895,10817,16959,6788,46461,2011
"7117","Klickitat County, Washington",53,"039","039","53",7930,3676,2984,1860,0,0,269,146,44.8,621,2280,2703,1810,38774,2011
"7118","Lewis County, Washington",53,"041","041","53",30112,13955,10961,6765,37,17,946,243,42,2767,8354,11768,4764,44373,2011
"7119","Grays Harbor County, Washington",53,"027","027","53",27983,13404,10247,7108,139,5,700,305,41.8,2929,7516,11091,4328,42729,2011
"7120","Island County, Washington",53,"029","029","53",31747,15842,15250,8865,434,173,775,514,42.5,1205,6940,11858,8223,59328,2011
"7121","Wahkiakum County, Washington",53,"069","069","53",1382,629,453,255,0,0,0,0,45.5,62,455,569,222,41149,2011
"7122","Walla Walla County, Washington",53,"071","071","53",25377,11903,9676,6521,162,2,1700,1051,38.7,2066,4205,8769,5665,46793,2011
"7123","Grant County, Washington",53,"025","025","53",36619,16066,15451,9235,64,36,5608,2777,38.8,7665,8920,10469,5489,44237,2011
"7124","Snohomish County, Washington",53,"061","061","53",349680,162466,145071,95058,3588,1712,11699,5659,41.1,21322,74392,122350,99135,67777,2011
"7125","Grant County, West Virginia",54,"023","023","54",5848,2713,2321,1747,7,10,33,11,43.6,469,2900,855,857,40008,2011
"7126","Summers County, West Virginia",54,"089","089","54",4617,2217,1679,1822,74,104,21,23,41.6,538,1599,1269,737,32194,2011
"7127","Brooke County, West Virginia",54,"009","009","54",10478,5002,4164,3035,90,17,0,4,43,359,3856,3191,2067,41441,2011
"7128","Greenbrier County, West Virginia",54,"025","025","54",14296,6704,5443,4130,117,105,39,29,43,1358,5277,3623,2720,35180,2011
"7129","Hardy County, West Virginia",54,"031","031","54",5979,2779,2471,1896,53,88,58,66,42.5,717,2584,1347,582,33060,2011
"7130","Mineral County, West Virginia",54,"057","057","54",11611,5490,4809,3208,53,40,10,0,41.9,558,5420,2805,1672,34691,2011
"7131","Mingo County, West Virginia",54,"059","059","54",8210,3742,3559,2482,110,135,0,0,40.7,838,3517,2129,1163,32794,2011
"7132","Lewis County, West Virginia",54,"041","041","54",6846,3231,2596,2026,0,2,0,0,43.4,693,2928,1430,1052,34617,2011
"7133","Marshall County, West Virginia",54,"051","051","54",13088,6149,5218,3601,36,0,38,3,43.5,760,5250,4254,2259,37313,2011
"7134","Pocahontas County, West Virginia",54,"075","075","54",3579,1652,1391,958,9,77,0,0,43.6,286,1392,781,777,33816,2011
"7135","Tyler County, West Virginia",54,"095","095","54",3345,1535,1332,859,0,0,9,0,43.2,274,1541,907,387,36563,2011
"7136","Randolph County, West Virginia",54,"083","083","54",11631,5532,4689,3348,18,19,0,0,43.2,1074,4700,2252,2342,35560,2011
"7137","Taylor County, West Virginia",54,"091","091","54",6931,3230,2985,1958,0,0,19,0,42.1,428,2912,1669,1249,39142,2011
"7138","Wirt County, West Virginia",54,"105","105","54",2115,918,933,640,0,0,0,0,44.8,96,1116,653,386,37482,2011
"7139","Clay County, West Virginia",54,"015","015","54",3127,1384,1188,905,0,2,12,0,42.6,366,1422,686,414,29105,2011
"7140","Gilmer County, West Virginia",54,"021","021","54",2857,1297,1187,756,159,18,65,0,37.1,237,867,600,434,33309,2011
"7141","Monongalia County, West Virginia",54,"061","061","54",44992,20746,17184,11917,511,209,213,80,30.6,1661,9101,7309,15034,41325,2011
"7142","Monroe County, West Virginia",54,"063","063","54",5582,2489,2299,1584,11,0,0,0,41,551,2185,1307,965,39047,2011
"7143","Wetzel County, West Virginia",54,"103","103","54",6219,2968,2574,1826,10,0,14,0,43.8,335,2731,1590,955,37673,2011
"7144","Cabell County, West Virginia",54,"011","011","54",40792,19784,15268,11770,610,550,120,127,38.3,2036,10724,10551,10786,35691,2011
"7145","Kanawha County, West Virginia",54,"039","039","54",88334,43600,34970,29647,1160,1231,365,248,41.8,5290,27033,22424,24456,44265,2011
"7146","Logan County, West Virginia",54,"045","045","54",11992,5282,5329,3176,12,41,19,1,40.2,842,5431,3398,1597,36562,2011
"7147","Preston County, West Virginia",54,"077","077","54",14084,6381,6088,4213,83,14,49,27,41.6,890,6574,2971,2053,43434,2011
"7148","Harrison County, West Virginia",54,"033","033","54",29047,13577,11739,8815,202,175,103,54,42,1960,9780,8232,6360,40556,2011
"7149","Ritchie County, West Virginia",54,"085","085","54",4079,1864,1644,1153,5,6,0,5,43,323,1396,1447,648,34204,2011
"7150","Morgan County, West Virginia",54,"065","065","54",7216,3490,3056,2297,13,0,49,46,43.6,526,3439,1688,1378,36703,2011
"7151","Lincoln County, West Virginia",54,"043","043","54",6857,3123,3003,1751,9,15,0,0,41.3,995,2734,1785,981,31880,2011
"7152","Braxton County, West Virginia",54,"007","007","54",5282,2267,2155,1412,20,0,0,0,42.2,799,2227,1057,686,31686,2011
"7153","Putnam County, West Virginia",54,"079","079","54",25088,11434,11498,8175,115,106,89,11,43.1,1167,7663,7092,7125,53640,2011
"7154","Boone County, West Virginia",54,"005","005","54",8605,3729,4065,2358,64,45,33,0,40.6,940,3702,2152,1155,41359,2011
"7155","McDowell County, West Virginia",54,"047","047","54",4980,2443,2165,1659,134,228,0,0,42.3,638,2251,1116,705,21967,2011
"7156","Wyoming County, West Virginia",54,"109","109","54",7430,3237,3310,2250,32,5,0,19,40.6,653,3113,1623,1133,36641,2011
"7157","Jackson County, West Virginia",54,"035","035","54",11730,5546,4739,3412,0,19,14,14,41.8,863,3716,3474,2506,43191,2011
"7158","Mercer County, West Virginia",54,"055","055","54",23095,11322,8791,7342,332,387,45,67,40.8,1522,8148,5577,5163,33704,2011
"7159","Sandoval County, New Mexico",35,"043","043","35",57217,27806,23201,18450,742,385,7919,6528,42,3511,12826,19878,15381,57651,2011
"7160","Grant County, New Mexico",35,"017","017","35",12021,5749,4302,3610,7,12,1896,1893,43.7,648,2790,3947,2863,36925,2011
"7161","Curry County, New Mexico",35,"009","009","35",20654,9420,9251,5751,365,483,3217,1752,36.3,2494,4056,6180,3671,40397,2011
"7162","Eddy County, New Mexico",35,"015","015","35",24156,10856,10212,6810,96,106,3910,2537,40.3,2911,6761,7306,3948,47725,2011
"7163","Mora County, New Mexico",35,"033","033","35",2269,975,678,694,4,0,565,503,44.1,181,688,699,363,39792,2011
"7164","San Juan County, New Mexico",35,"045","045","35",52807,23935,23376,16052,176,107,4607,2195,40.2,5808,15092,16548,8532,49024,2011
"7165","Benton County, Mississippi",28,"009","009","28",3018,1360,1279,736,345,208,0,0,42.3,403,1318,1009,309,28666,2011
"7166","Franklin County, Mississippi",28,"037","037","28",2851,1364,1123,881,258,276,0,0,43.4,467,835,1046,414,33250,2011
"7167","Coahoma County, Mississippi",28,"027","027","28",8993,4735,3034,3218,1785,2174,40,0,40.4,1545,2174,3021,1686,26050,2011
"7168","Jasper County, Mississippi",28,"061","061","28",6474,3043,2643,1842,1166,931,17,0,41.9,737,2133,2169,942,28914,2011
"7169","Jones County, Mississippi",28,"067","067","28",27300,12263,11944,8093,2263,2301,1057,166,40.1,3557,6460,9115,4670,37643,2011
"7170","Walthall County, Mississippi",28,"147","147","28",5598,2742,2154,1580,689,583,41,0,41.2,580,1744,1849,819,34045,2011
"7171","Monroe County, Mississippi",28,"095","095","28",14637,6982,6030,4532,1200,1192,174,17,40.4,1676,4731,4484,2299,35102,2011
"7172","Pontotoc County, Mississippi",28,"115","115","28",12382,6077,4599,3934,487,501,350,42,39.9,1970,3695,4085,1319,38574,2011
"7173","Holmes County, Mississippi",28,"051","051","28",5888,3417,1886,2182,1320,1769,0,0,40.9,891,2284,1854,821,22259,2011
"7174","Amite County, Mississippi",28,"005","005","28",4656,2069,1780,1458,554,575,10,0,44.1,490,1552,1636,480,31402,2011
"7175","Madison County, Mississippi",28,"089","089","28",44978,21996,19123,15468,5036,6280,612,245,41.1,2517,5992,11146,20457,59730,2011
"7176","Calhoun County, Mississippi",28,"013","013","28",5911,2788,2256,1861,474,511,122,45,40,1212,1882,1554,678,29893,2011
"7177","Marion County, Mississippi",28,"091","091","28",9470,4294,3853,2680,880,1052,65,0,40.1,1316,3213,2666,1485,32117,2011
"7178","Tishomingo County, Mississippi",28,"141","141","28",7235,3408,2861,2239,91,101,138,43,42.7,1008,2455,2286,944,30734,2011
"7179","Wayne County, Mississippi",28,"153","153","28",8086,3786,3116,2406,928,902,74,36,40,1170,2843,2397,1015,31388,2011
"7180","Greene County, Mississippi",28,"041","041","28",4504,1950,2003,1400,269,414,37,22,39.3,643,2053,1121,470,40404,2011
"7181","Marshall County, Mississippi",28,"093","093","28",13939,6645,5342,4104,1827,1803,104,28,42.8,2520,5034,3896,1865,33279,2011
"7182","Quitman County, Mississippi",28,"119","119","28",2781,1398,1059,1005,548,712,38,0,42.1,638,788,922,332,24545,2011
"7183","Pearl River County, Mississippi",28,"109","109","28",21623,9571,9070,6148,710,750,194,100,40.7,2221,6522,7277,3353,42971,2011
"7184","Leake County, Mississippi",28,"079","079","28",8267,4001,3397,2375,919,718,242,0,38.8,1185,2673,2863,969,32537,2011
"7185","Neshoba County, Mississippi",28,"099","099","28",11537,5673,4707,3683,668,552,107,15,39.4,1746,3103,4312,1526,36128,2011
"7186","Rankin County, Mississippi",28,"121","121","28",68292,34127,28534,24422,4059,4694,1047,409,39.3,4216,13941,21727,20448,56159,2011
"7187","Washington County, Mississippi",28,"151","151","28",17780,9239,6707,5988,3455,3847,41,49,41,2969,4875,5825,4291,28591,2011
"7188","Lawrence County, Mississippi",28,"077","077","28",4773,2051,2131,1453,454,568,48,4,41.4,468,1419,1876,745,37000,2011
"7189","Perry County, Mississippi",28,"111","111","28",4831,2009,2096,1330,416,296,0,0,40.9,615,1477,1642,486,39070,2011
"7190","Chickasaw County, Mississippi",28,"017","017","28",6638,3227,2417,1996,638,801,36,79,40.6,1149,2283,1802,802,30395,2011
"7191","Carroll County, Mississippi",28,"015","015","28",3397,1688,1369,1325,195,342,0,0,41.8,320,1277,1151,662,28793,2011
"7192","George County, Mississippi",28,"039","039","28",8015,3081,3665,1629,233,49,38,12,40.7,626,3472,2517,1016,45365,2011
"7193","Grenada County, Mississippi",28,"043","043","28",8856,4332,3284,3019,1169,1074,20,0,41.3,1231,2431,2566,1751,33123,2011
"7194","Jefferson County, Mississippi",28,"063","063","28",1908,1152,633,854,531,746,0,0,44.7,228,729,374,628,20375,2011
"7195","Newton County, Mississippi",28,"101","101","28",9022,4457,3521,2703,822,940,91,50,39.3,666,2528,3321,1208,37386,2011
"7196","Prentiss County, Mississippi",28,"117","117","28",9883,4651,3906,2933,332,338,9,0,39.2,1354,2704,2965,1280,32518,2011
"7197","Sharkey County, Mississippi",28,"125","125","28",1645,935,526,630,293,399,0,10,42.2,208,540,416,418,29451,2011
"7198","Choctaw County, Mississippi",28,"019","019","28",3399,1667,1229,1086,285,343,3,0,41.1,297,1195,1300,463,29832,2011
"7199","Hancock County, Mississippi",28,"045","045","28",17477,7762,6935,5467,478,772,330,180,42.7,1863,4573,5829,4046,42591,2011
"7200","Itawamba County, Mississippi",28,"057","057","28",9879,4369,4031,3085,277,64,68,34,40.6,1566,2823,3014,1400,37769,2011
"7201","Issaquena County, Mississippi",28,"055","055","28",485,177,290,94,115,33,0,0,42,154,238,85,36,22396,2011
"7202","Jackson County, Mississippi",28,"059","059","28",60532,28190,25432,18889,3890,4328,1372,416,40.8,6110,16476,20244,11683,49620,2011
"7203","Leflore County, Mississippi",28,"083","083","28",9820,5388,3293,3557,1731,2523,23,78,40.6,1779,2873,2769,2268,22353,2011
"7204","Tunica County, Mississippi",28,"143","143","28",4182,2054,1670,1403,994,945,61,4,37.8,598,1307,1232,726,30470,2011
"7205","Claiborne County, Mississippi",28,"021","021","28",3348,1678,1002,1150,738,1002,9,0,38.6,198,840,1143,565,21924,2011
"7206","Harrison County, Mississippi",28,"047","047","28",82215,38818,35946,26185,6465,5872,2468,1130,38.8,9333,18914,27305,17197,44550,2011
"7207","Lauderdale County, Mississippi",28,"075","075","28",31690,16186,12718,10759,3799,4232,303,138,39.9,2821,8456,11564,6247,35420,2011
"7208","Lincoln County, Mississippi",28,"085","085","28",13513,6517,5460,4369,1379,1289,28,11,39.9,1066,3999,4519,2795,38438,2011
"7209","Simpson County, Mississippi",28,"127","127","28",10643,5219,4462,3885,1175,1447,39,67,41.6,1615,3371,3270,1709,36606,2011
"7210","Winston County, Mississippi",28,"159","159","28",7471,3620,2674,2478,728,1170,82,20,41.4,639,2356,2719,1413,33007,2011
"7211","Attala County, Mississippi",28,"007","007","28",7331,3335,2695,2186,737,848,50,0,41,1476,1989,2108,1355,29805,2011
"7212","Lamar County, Mississippi",28,"073","073","28",25441,12414,10444,7764,1306,1779,255,61,37.9,1754,4270,7352,8297,50075,2011
"7213","Lee County, Mississippi",28,"081","081","28",36795,17936,14832,12048,2509,3103,596,124,40.2,3697,8593,12223,8147,41150,2011
"7214","Tallahatchie County, Mississippi",28,"135","135","28",4677,2246,2401,1607,879,936,234,5,38.9,977,1555,1346,638,27092,2011
"7215","Smith County, Mississippi",28,"129","129","28",6617,3150,2722,2097,347,423,7,20,42.5,792,2527,1713,980,36795,2011
"7216","Warren County, Mississippi",28,"149","149","28",20860,10106,8603,7221,2866,3683,320,16,41.3,1952,5069,6721,5225,40469,2011
"7217","Upshur County, West Virginia",54,"097","097","54",9553,4352,3894,2743,0,0,47,30,41.8,776,4030,1872,1698,37689,2011
"7218","Webster County, West Virginia",54,"101","101","54",3313,1491,1459,804,0,0,0,0,41.2,644,1383,646,357,25990,2011
"7219","Berkeley County, West Virginia",54,"003","003","54",48349,23541,19334,15529,1272,1239,718,296,40.6,4748,17291,12881,9975,52504,2011
"7220","Fayette County, West Virginia",54,"019","019","54",16083,7503,6968,4721,331,177,61,52,40.3,1173,6852,4329,2308,32940,2011
"7221","Iron County, Wisconsin",55,"051","051","55",2628,1283,967,761,0,0,0,2,46,107,746,1016,544,37413,2011
"7222","Clark County, Wisconsin",55,"019","019","55",16051,7196,6489,4210,11,9,280,116,41.8,1682,5911,4272,1808,42756,2011
"7223","St. Croix County, Wisconsin",55,"109","109","55",44526,21451,17770,12751,111,17,289,86,40.7,1449,10027,14791,14184,68513,2011
"7224","Oconto County, Wisconsin",55,"083","083","55",19062,9135,7324,5355,23,7,73,68,44,1362,6837,6371,2655,49396,2011
"7225","Lincoln County, Wisconsin",55,"069","069","55",14275,6945,5589,4231,17,0,16,55,44.1,833,5142,4705,2177,47426,2011
"7226","Waupaca County, Wisconsin",55,"135","135","55",25360,11622,10037,6530,57,22,261,147,43.3,1497,10131,7040,4034,48604,2011
"7227","Barron County, Wisconsin",55,"005","005","55",22574,10708,8638,6367,64,69,195,45,42.3,1421,7190,7139,3850,44806,2011
"7228","Sawyer County, Wisconsin",55,"113","113","55",7377,3612,2480,1779,0,0,16,31,45.1,495,2246,2434,1530,39228,2011
"7229","Green Lake County, Wisconsin",55,"047","047","55",9638,4592,3546,2648,8,0,109,88,44,856,3353,2746,1362,48937,2011
"7230","Price County, Wisconsin",55,"099","099","55",7039,3256,2559,1806,0,0,17,10,46.3,329,2720,2153,1159,41458,2011
"7231","Marquette County, Wisconsin",55,"077","077","55",7048,3351,2679,2006,0,0,32,20,45.5,595,2798,2064,954,45046,2011
"7232","Marinette County, Wisconsin",55,"075","075","55",19316,8963,7817,4655,0,27,64,0,43.2,972,6837,6205,3009,41574,2011
"7233","Milwaukee County, Wisconsin",55,"079","079","55",441390,223395,159325,136258,23949,34215,20924,11464,37.6,38836,103366,123297,127029,43397,2011
"7234","Racine County, Wisconsin",55,"101","101","55",92504,44797,36708,27424,2252,2350,3675,2518,42,6207,26427,28964,21739,54356,2011
"7235","Dunn County, Wisconsin",55,"033","033","55",22086,10400,7990,5234,98,32,78,49,35.4,553,5782,5931,4668,48342,2011
"7236","Forest County, Wisconsin",55,"041","041","55",3860,1889,1411,1013,4,0,0,7,43.3,171,1418,1337,420,38176,2011
"7237","Grant County, Wisconsin",55,"043","043","55",25538,11807,9649,6697,63,0,130,42,38.7,913,7318,6880,4452,45022,2011
"7238","Rusk County, Wisconsin",55,"107","107","55",6635,3194,2299,1712,0,65,16,5,44.6,572,2578,1799,1086,38821,2011
"7239","Sheboygan County, Wisconsin",55,"117","117","55",58977,28137,23109,16213,132,7,943,533,42.3,2944,17738,17961,13265,52993,2011
"7240","Menominee County, Wisconsin",55,"078","078","55",1443,709,418,526,0,0,61,9,41.2,91,448,583,244,32017,2011
"7241","Outagamie County, Wisconsin",55,"087","087","55",93400,44657,37328,25743,94,142,1297,756,40.5,3680,25912,28103,23653,57190,2011
"7242","Buffalo County, Wisconsin",55,"011","011","55",6980,3203,2834,2054,0,0,35,16,43.6,341,2441,2087,1127,46073,2011
"7243","Columbia County, Wisconsin",55,"021","021","55",29592,14101,11841,8807,63,0,226,141,42.4,1166,9085,9804,6099,57805,2011
"7244","La Crosse County, Wisconsin",55,"063","063","55",61265,30729,21501,17047,309,245,323,263,37,1985,12386,18055,15739,50510,2011
"7245","Brown County, Wisconsin",55,"009","009","55",126676,61008,49260,35717,558,364,3027,1514,40.4,7367,32868,37258,32324,53353,2011
"7246","Marathon County, Wisconsin",55,"073","073","55",69504,32816,27387,19832,98,91,476,223,41.7,3492,21660,20561,14773,54316,2011
"7247","Oneida County, Wisconsin",55,"085","085","55",17548,8343,6082,5012,1,16,34,38,44.9,554,5204,5930,3695,45184,2011
"7248","Trempealeau County, Wisconsin",55,"121","121","55",14584,6859,6117,4503,2,15,343,147,42.5,928,5229,4214,2557,47437,2011
"7249","Waukesha County, Wisconsin",55,"133","133","55",204914,97420,84134,55855,637,486,2879,1809,43.8,4667,38611,57367,79223,75845,2011
"7250","Dodge County, Wisconsin",55,"027","027","55",44428,20557,18536,11845,148,14,591,261,42.3,2704,15074,14298,7035,53589,2011
"7251","Vilas County, Wisconsin",55,"125","125","55",9524,4540,3336,2642,30,5,29,29,45.3,487,2943,3111,2004,41195,2011
"7252","Crawford County, Wisconsin",55,"023","023","55",7934,3792,2941,2214,12,0,16,0,44.1,370,3094,2303,1216,40933,2011
"7253","Manitowoc County, Wisconsin",55,"071","071","55",41484,19393,16771,11213,72,17,498,100,43.4,2141,14029,13137,7176,50181,2011
"7254","Sauk County, Wisconsin",55,"111","111","55",32845,15900,12744,9393,40,63,441,168,41.8,1960,10347,9687,6381,51121,2011
"7255","Burnett County, Wisconsin",55,"013","013","55",6572,3216,2349,1601,13,0,18,17,45.3,448,2351,2289,1084,40686,2011
"7256","Chippewa County, Wisconsin",55,"017","017","55",30996,14390,12281,8756,56,61,176,54,41.7,1467,10016,10517,5892,50239,2011
"7257","Door County, Wisconsin",55,"029","029","55",14427,6988,5087,3833,0,27,52,75,45.6,604,4730,3848,3499,48680,2011
"7258","Fond du Lac County, Wisconsin",55,"039","039","55",52953,25444,19972,14351,61,107,815,306,41.4,3035,16889,15881,9402,52717,2011
"7259","Jackson County, Wisconsin",55,"053","053","55",9394,4526,3741,2800,52,13,91,26,43.4,701,3189,2614,1650,44106,2011
"7260","Pepin County, Wisconsin",55,"091","091","55",3765,1806,1420,1018,5,0,29,16,43.3,178,1277,1166,671,48717,2011
"7261","Ozaukee County, Wisconsin",55,"089","089","55",45218,21381,18031,11221,138,215,291,212,44.4,859,7478,12273,18498,75634,2011
"7262","Richland County, Wisconsin",55,"103","103","55",8975,4091,3551,2403,0,0,56,41,43,509,3138,2542,1327,44326,2011
"7263","Rock County, Wisconsin",55,"105","105","55",76424,37456,28055,21071,427,669,1918,1031,41.1,6398,23046,23687,15555,50532,2011
"7264","Waushara County, Wisconsin",55,"137","137","55",10790,5051,4106,2882,21,0,172,93,44.4,947,4095,3341,1503,43544,2011
"7265","Bayfield County, Wisconsin",55,"007","007","55",6898,3445,2325,1719,0,0,26,18,46.8,225,1910,2453,1842,44190,2011
"7266","Lafayette County, Wisconsin",55,"065","065","55",8799,4182,3656,2747,2,0,135,56,43.6,476,3060,2509,1401,49850,2011
"7267","Pierce County, Wisconsin",55,"093","093","55",22762,11297,8095,6267,95,6,82,85,38.3,503,5043,7093,5287,61443,2011
"7268","Wood County, Wisconsin",55,"141","141","55",36609,18077,13647,10124,50,32,297,159,43.1,1596,11397,12398,7246,47182,2011
"7269","Calumet County, Wisconsin",55,"015","015","55",25522,11765,10835,7271,12,0,318,179,41.8,990,7895,7149,6787,63395,2011
"7270","Florence County, Wisconsin",55,"037","037","55",2115,1111,750,557,0,0,0,7,47,115,852,609,329,43000,2011
"7271","Kenosha County, Wisconsin",55,"059","059","55",79647,38681,30647,22926,1396,1345,2965,1841,40.1,4902,21922,24228,20600,54846,2011
"7272","Lincoln County, Wyoming",56,"023","023","56",8542,3844,3767,2241,0,0,124,46,42.6,479,2635,2799,1768,60543,2011
"7273","Johnson County, Wyoming",56,"019","019","56",4437,1936,1863,1202,0,0,83,16,44.6,113,1314,1228,1139,55094,2011
"7274","Laramie County, Wyoming",56,"021","021","56",44510,21637,19726,15166,560,265,1972,1658,40.2,1977,9801,15740,10485,54156,2011
"7275","Clarke County, Mississippi",28,"023","023","28",6545,3185,2520,2178,521,804,9,0,41.9,638,2599,2239,692,31059,2011
"7276","Montgomery County, Mississippi",28,"097","097","28",3854,1945,1539,1345,416,509,0,0,41.6,455,1133,1252,627,33087,2011
"7277","Oktibbeha County, Mississippi",28,"105","105","28",19822,9571,6727,4758,1759,2372,115,20,27.4,870,2608,3852,7088,29013,2011
"7278","Webster County, Mississippi",28,"155","155","28",3958,1769,1620,1053,154,195,34,0,41.3,611,976,1166,691,36392,2011
"7279","Alcorn County, Mississippi",28,"003","003","28",14087,6597,5874,4222,415,449,128,3,39.7,1545,4496,4096,2548,32221,2011
"7280","Clay County, Mississippi",28,"025","025","28",7600,3835,2819,2509,1166,1328,0,16,42.2,903,2511,2666,1483,32919,2011
"7281","Covington County, Mississippi",28,"031","031","28",7238,3479,2856,2336,555,878,20,0,40.8,708,2130,2074,1271,31127,2011
"7282","Humphreys County, Mississippi",28,"053","053","28",3110,1601,1076,1112,643,800,9,0,43,903,916,998,399,25730,2011
"7283","Dauphin County, Pennsylvania",42,"043","043","42",133193,64629,52930,43203,6552,7268,2995,1709,41,7165,39737,32969,37974,53771,2011
"7284","Franklin County, Pennsylvania",42,"055","055","42",69767,32903,28673,19610,673,627,1031,481,40.9,6115,25532,15819,13214,51171,2011
"7285","Union County, Pennsylvania",42,"119","119","42",17665,8226,7951,4423,637,45,254,197,39.1,1364,5717,3512,4513,46269,2011
"7286","Wayne County, Pennsylvania",42,"127","127","42",22529,10783,9211,6546,233,54,334,89,43.8,1320,8454,5512,4386,49020,2011
