petition_number,cert_wrkrs_pet,partic_pet
72030,118,74
72031,96,8
72033,157,57
72035,96,5
72038,150,9
72040,72,34
72041,54,9
72048,51,26
72050,267,30
72051,70,28
72053,264,239
72054,50,6
72056,353,43
72057,0,3
72058,213,141
72060,128,30
72062,46,4
72063,32,17
72065,215,82
72066,36,17
72069,79,9
72070,47,5
72072,46,15
72073,19,5
72074,120,17
72075,170,47
72078,17,7
72079,73,4
72083,575,116
72085,10,3
72086,28,5
72087,118,4
72089,44,5
72091,21,5
72092,150,15
72095,73,4
72098,392,169
72099,219,28
72100,35,71
72101,112,43
72102,13,3
72105,17,8
72108,50,4
72109,157,78
72112,204,13
72113,80,26
72117,157,171
72120,100,14
72121,2584,421
72123,133,9
72125,62,4
72126,56,7
72127,3,6
72128,106,291
72129,50,26
72130,127,49
72133,27,3
72134,238,77
72135,246,54
72138,65,42
72139,377,101
72143,35,6
72144,422,155
72147,63,17
72149,70,27
72150,300,90
72153,1200,54
72155,12,5
72156,187,72
72157,11,6
72158,36,7
72159,47,10
72160,24,3
72161,8,6
72163,140,73
72165,115,29
72167,20,127
72168,169,46
72169,17,6
72170,554,72
72171,231,202
72177,109,27
72178,26,5
72180,73,10
72182,51,12
72184,250,49
72186,85,13
72187,174,22
72189,35,11
72190,12,11
72192,551,238
72194,35,7
72195,120,9
72196,11,6
72198,52,11
72199,152,63
72201,176,63
72202,205,64
72204,268,33
72206,15,4
72207,88,16
72209,39,10
72210,146,6
72211,205,25
72212,394,31
72213,354,213
72214,7,3
72217,11,5
72221,80,14
72222,106,12
72223,37,23
72224,18,4
72227,46,4
72228,8,4
72230,29,17
72231,83,35
72234,171,69
72235,85,12
72238,928,37
72241,123,18
72242,21,5
72246,350,63
72250,272,106
72251,231,60
72252,17,5
72253,104,168
72256,42,21
72257,70,13
72259,211,24
72261,56,280
72265,168,6
72266,7,4
72270,106,9
72271,250,63
72272,47,12
72273,295,60
72276,145,110
72278,72,89
72279,149,27
72280,71,21
72282,112,28
72285,55,17
72286,40,31
72288,998,34
72290,1500,51
72291,36,40
72292,20,7
72294,52,29
72295,61,4
72296,41,13
72297,93,4
72298,67,3
72300,65,15
72301,34,3
72304,263,84
72305,16,4
72307,151,10
72308,51,13
72309,34,7
72311,46,7
72313,10,16
72314,173,13
72319,762,384
72324,60,145
72326,3,5
72329,52,4
72331,88,6
72333,37,43
72334,30,4
72336,76,20
72337,14,3
72340,42,16
72342,101,54
72343,30,14
72344,21,7
72348,142,80
72349,48,5
72353,19,3
72361,35,23
72362,13,5
72365,4,3
72366,60,14
72371,165,27
72373,104,7
72374,55,3
72375,57,45
72378,108,4
72379,250,93
72380,11,5
72381,30,5
72384,64,11
72385,34,27
72386,22,12
72388,120,54
72390,57,3
72391,6,3
72392,158,17
72393,70,5
72394,116,114
72395,369,54
72397,202,203
72398,164,5
72402,240,134
72403,28,16
72405,36,5
72407,30,4
72408,30,13
72411,424,83
72412,125,54
72414,138,32
72416,23,3
72419,95,44
72421,25,25
72422,12,3
72424,65,3
72425,42,9
72426,8,4
72428,37,12
72429,47,4
72430,108,24
72431,34,3
72435,151,15
72436,36,3
72443,15,7
72444,46,5
72445,6,3
72448,80,34
72449,15,4
72450,55,9
72452,16,7
72453,71,10
72454,104,18
72456,82,9
72462,300,85
72464,18,4
72465,150,44
72467,36,7
72468,186,44
72469,27,4
72472,231,25
72473,68,90
72474,45,9
72478,78,7
72480,5,8
72483,57,43
72484,66,14
72485,20,12
72487,8,10
72489,26,15
72490,307,114
72491,242,13
72495,38,35
72496,86,15
72497,330,17
72498,13,6
72500,232,60
72502,35,9
72504,325,112
72506,21,7
72509,90,17
72512,13,9
72516,40,6
72517,25,33
72518,103,28
72519,820,254
72520,93,32
72524,53,30
72529,197,31
72530,37,25
72531,232,68
72534,143,37
72538,121,34
72540,88,39
72543,78,54
72544,756,274
72548,370,135
72550,75,14
72553,410,28
72555,12,15
72563,133,17
72564,30,7
72565,132,18
72566,19,5
72570,54,9
72572,737,27
72574,18,8
72575,856,440
72581,461,78
72582,995,106
72584,268,11
72585,1300,882
72586,102,10
72589,56,30
72590,86,42
72593,128,11
72594,125,78
72595,16,3
72596,48,30
72597,397,67
72599,23,11
72600,192,16
72609,99,4
72610,46,36
72611,369,43
72615,33,9
72618,40,8
72622,27,4
72623,170,21
72624,39,21
72625,40,6
72626,100,17
72628,11,39
72631,20,4
72632,350,106
72635,32,4
72636,48,9
72638,263,205
72639,158,19
72640,45,6
72643,291,8
72648,30,5
72649,168,67
72650,30,6
72651,6,3
72654,52,52
72655,92,21
72657,253,99
72658,80,5
72659,200,84
72660,15,9
72662,48,17
72664,60,4
72668,112,31
72670,186,12
72671,40,13
72672,248,32
72674,184,70
72681,135,11
72683,82,21
72686,32,11
72688,50,4
72689,6,3
72691,247,32
72692,69,9
72696,13,4
72700,50,7
72702,225,144
72704,1707,9
72706,67,36
72707,61,9
72708,43,7
72711,43,8
72712,71,35
72715,23,8
72717,13,3
72718,117,191
72721,154,177
72723,229,42
72730,14,7
72731,26,11
72732,70,3
72734,168,13
72735,105,27
72736,778,195
72739,81,3
72740,24,18
72742,10,62
72743,192,17
72745,15,9
72746,58,30
72748,4742,"3,429"
72751,170,42
72757,247,48
72759,108,12
72760,319,77
72761,17,3
72763,213,29
72764,1259,771
72768,32,7
72769,63,20
72770,51,30
72772,22,27
72773,5,16
72774,7,4
72775,23,8
72777,130,97
72778,417,62
72781,515,61
72782,21,4
72784,71,5
72785,106,35
72789,144,8
72791,37,8
72798,22,3
72799,89,17
72800,215,64
72803,222,3
72804,12,3
72805,488,51
72808,11,23
72811,70,8
72813,24,8
72815,441,86
72816,64,18
72818,18,62
72819,34,12
72820,48,4
72821,198,11
72822,155,8
72824,8,3
72826,30,5
72827,97,10
72830,53,3
72834,38,6
72838,42,7
72839,69,4
72841,23,4
72843,31,24
72846,89,7
72847,150,15
72848,11,15
72849,3,3
72851,456,38
72854,10,5
72855,435,198
72857,11,7
72858,20,5
72860,44,114
72861,250,535
72862,45,18
72863,180,7
72865,320,38
72866,42,4
72867,37,11
72869,26,4
72870,284,44
72871,120,34
72873,243,125
72874,7,3
72876,78,13
72877,135,8
72879,27,9
72880,248,142
72885,29,5
72886,26,3
72887,200,96
72888,1014,204
72889,62,3
72892,54,37
72893,112,16
72898,193,49
72900,55,16
72904,282,181
72910,77,7
72911,38,23
72912,229,47
72913,22,5
72914,221,24
72922,10,4
72923,67,123
72924,67,13
72929,1005,296
72931,15,3
72933,128,172
72934,149,80
72935,98,23
72936,8,3
72937,576,131
72938,157,69
72943,336,14
72944,29,4
72946,5,5
72950,50,4
72951,25,3
72958,28,5
72961,111,3
72963,43,18
72964,42,25
72969,49,7
72972,154,9
72977,203,33
72978,338,80
72979,82,11
72980,126,29
72981,156,12
72987,69,11
72988,121,22
72989,45,14
72992,70,3
72995,140,7
72998,125,54
73001,93,3
73002,220,27
73003,10,5
73007,29,4
73010,238,11
73011,28,3
73013,80,24
73014,3,19
73016,21,3
73017,406,341
73020,51,5
73026,41,14
73028,48,4
73032,46,12
73035,186,20
73036,90,18
73040,54,25
73042,8,6
73043,76,18
73046,12,4
73052,16,6
73054,205,19
73056,85,29
73059,8,4
73062,9,11
73064,30,3
73065,365,42
73067,2,4
73069,35,43
73072,184,18
73073,60,11
73075,186,26
73078,108,101
73079,41,18
73082,40,10
73087,19,24
73094,200,79
73095,740,147
73097,103,21
73098,37,6
73102,305,164
73105,138,13
73106,16,5
73111,160,14
73112,161,15
73118,63,7
73120,47,6
73121,121,84
73123,202,78
73124,5,4
73125,79,19
73126,629,13
73127,108,23
73128,73,19
73133,331,100
73135,20,16
73138,29,8
73144,28,18
73146,3,6
73149,78,20
73153,104,50
73155,90,64
73156,105,9
73158,78,6
73159,12,11
73164,731,72
73166,55,6
73167,73,3
73170,41,5
73173,96,24
73174,59,26
73183,122,16
73184,61,44
73187,42,12
73189,143,48
73191,19,6
73193,45,25
73194,190,49
73196,12,5
73197,67,5
73198,350,165
73202,123,10
73203,93,10
73206,202,73
73210,148,8
73211,29,15
73213,387,28
73214,50,4
73215,51,26
73216,23,7
73218,40,12
73220,75,13
73221,145,10
73229,47,5
73230,128,23
73233,104,35
73236,22,8
73238,6,5
73239,120,4
73242,5,3
73243,18,39
73244,204,74
73245,7,19
73246,32,7
73248,78,11
73249,1500,173
73251,125,18
73252,76,58
73253,387,28
73256,200,34
73257,166,25
73261,96,14
73262,65,5
73263,32,4
73264,200,87
73268,95,16
73272,21,4
73274,43,5
73277,62,5
73280,20,4
73281,84,24
73288,44,3
73289,60,14
73290,95,8
73292,27,3
73293,1146,289
73294,9,3
73295,10,5
73297,90,23
73299,30,28
73303,686,244
73307,27,10
73308,88,5
73309,74,42
73310,80,41
73312,176,52
73314,730,6
73315,12,4
73316,19,3
73317,10,9
73321,32,25
73324,104,3
73325,211,57
73327,15,4
73330,108,68
73331,240,8
73333,425,130
73336,360,164
73338,259,109
73339,135,74
73341,147,12
73342,33,10
73343,126,7
73344,67,4
73345,70,3
73352,5,3
73354,356,41
73355,71,3
73357,100,214
73358,196,18
73359,29,19
73360,53,9
73362,84,15
73366,137,37
73370,163,32
73371,5,3
73373,47,16
73375,79,30
73378,4,4
73379,210,49
73380,26,4
73381,86,7
73382,18,10
73385,46,5
73390,101,5
73391,43,4
73392,40,4
73394,18,11
73396,100,31
73397,56,31
73398,40,5
73400,199,53
73403,35,3
73405,62,5
73409,149,72
73411,140,30
73412,66,89
73414,111,9
73417,99,29
73418,24,5
73420,388,39
73425,8,3
73426,10,3
73427,45,22
73428,114,13
73429,193,68
73431,111,59
73432,100,33
73434,17,3
73437,37,9
73441,346,419
73443,34,3
73444,24,3
73445,55,15
73446,38,29
73447,15,4
73448,56,166
73450,48,4
73453,144,32
73455,50,10
73459,51,3
73460,113,9
73461,149,23
73465,129,53
73466,212,83
73468,220,82
73470,346,27
73476,61,4
73477,73,13
73480,36,9
73481,760,129
73484,13,3
73488,20,4
73489,81,30
73490,147,47
73491,97,5
73493,308,58
73494,50,5
73495,18,3
73497,57,164
73500,56,32
73506,40,3
73507,255,14
73509,23,7
73513,194,89
73515,191,32
73516,24,3
73518,10,3
73519,22,6
73520,157,56
73524,130,6
73525,36,9
73532,93,80
73533,54,31
73534,31,8
73535,20,7
73538,251,13
73539,189,77
73541,68,9
73542,370,38
73543,130,98
73545,250,25
73546,170,66
73549,29,3
73552,225,90
73553,12,6
73555,38,11
73556,82,39
73558,40,38
73562,255,75
73563,13,8
73564,16,5
73568,40,7
73573,27,5
73574,138,160
73575,50,5
73577,10,6
73581,566,26
73582,48,4
73583,7,4
73584,188,9
73585,15,20
73586,93,13
73587,204,6
73590,15,18
73591,1221,39
73592,74,5
73593,37,22
73594,24,4
73595,138,18
73596,133,68
73603,41,9
73604,21,8
73605,21,9
73609,68,4
73612,3,3
73614,100,20
73616,116,7
73618,81,8
73620,107,25
73621,338,316
73622,50,3
73623,8,5
73627,106,29
73632,44,4
73635,99,5
73637,50,6
73638,25,12
73639,7,4
73640,27,8
73641,52,87
73642,855,200
73644,500,215
73646,60,13
73652,137,20
73656,45,28
73657,79,9
73663,28,13
73664,276,91
73666,75,36
73668,53,8
73670,58,37
73676,359,35
73679,24,7
73681,107,49
73682,64,32
73689,266,25
73690,53,6
73695,100,15
73698,22,25
73700,213,56
73701,550,134
73703,119,12
73704,38,14
73706,28,17
73709,20,19
73711,66,10
73712,47,40
73719,10,3
73725,158,11
73726,48,6
73734,14,6
73740,53,34
73742,182,112
73745,17,5
73746,19,11
73754,9,16
73757,20,96
73758,73,7
73760,215,54
73762,24,41
73765,7,6
73767,60,5
73771,1861,159
73774,32,10
73775,42,6
73781,24,5
73782,350,24
73790,143,33
73791,12,4
73792,35,30
73793,47,17
73794,21,4
73795,25,3
73797,29,3
73798,176,85
73800,10,3
73802,40,4
73805,63,4
73806,100,8
73810,15,6
73813,47,106
73814,146,11
73817,34,6
73821,56,18
73822,144,42
73824,274,200
73828,84,14
73832,5,3
73833,131,70
73836,219,134
73843,115,179
73845,48,3
73847,15,6
73849,24,6
73854,91,23
73857,310,94
73860,4,4
73861,56,3
73862,48,15
73872,71,8
73873,168,25
73875,73,11
73880,23,3
73881,147,74
73883,14,6
73885,172,118
73887,36,17
73888,126,28
73889,360,126
73892,225,38
73900,72,4
73903,236,131
73904,185,181
73906,152,25
73907,127,41
73909,28,13
73910,185,5
73912,22,8
73913,31,16
73915,55,19
73916,5,3
73923,118,7
73924,707,4
73926,241,4
73928,35,3
73931,24,11
73932,37,3
73933,126,10
73934,317,25
73935,170,6
73936,125,74
73938,61,3
73945,112,7
73946,115,29
73947,13,6
73949,380,143
73952,127,13
73954,139,3
73956,14,10
73957,310,91
73958,200,3
73960,12,3
73962,158,42
73966,50,9
73967,16,15
73969,49,30
73970,30,9
73971,17,3
73975,18,9
73976,17,3
73980,368,137
73981,375,118
73982,126,26
73984,38,26
73987,79,12
73988,6,3
73991,96,10
73992,436,104
73993,50,12
73994,75,12
73996,109,84
73999,49,9
74001,250,29
74003,20,3
74006,47,33
74008,28,20
74010,43,27
74013,67,29
74014,30,20
74017,59,22
74018,250,56
74019,76,4
74020,24,4
74022,10,6
74023,17,10
74025,8,3
74026,58,17
74027,7,3
74028,5,4
74033,51,38
74038,140,31
74039,41,5
74041,93,9
74042,52,34
74050,121,13
74051,26,7
74053,20,7
74054,26,35
74055,12,5
74058,9,6
74060,94,23
74063,180,22
74064,140,28
74065,76,35
74068,180,69
74069,101,27
74071,72,22
74072,3,3
74075,57,15
74077,8,3
74078,39,9
74080,65,29
74082,172,12
74085,17,43
74086,332,117
74088,10,6
74091,20,5
74105,18,7
74109,85,24
74110,262,89
74111,567,116
74112,18,7
74117,120,36
74121,38,7
74123,140,55
74124,36,4
74126,71,15
74131,187,31
74133,68,13
74134,91,14
74138,61,20
74140,6,4
74141,106,10
74142,50,10
74144,345,21
74146,14,3
74148,304,47
74150,112,6
74155,32,12
74156,83,29
74159,955,19
74161,90,26
74164,6,15
74169,59,6
74170,242,61
74171,76,37
74172,40,4
74174,200,3
74175,610,141
74176,125,4
74178,21,9
74179,35,11
74180,77,6
74181,83,13
74183,68,4
74185,13,82
74187,225,3
74189,249,4
74195,60,8
74197,34,18
74202,100,10
74203,141,8
74204,65,19
74205,12,4
74206,184,20
74209,183,53
74211,5,6
74215,52,14
74218,33,16
74219,450,80
74222,41,17
74227,899,24
74237,92,42
74238,648,68
74239,15,8
74240,122,7
74242,42,33
74243,14,5
74247,12,10
74250,16,3
74252,28,6
74255,103,65
74257,2207,32
74258,34,8
74259,240,23
74260,24,3
74266,23,11
74267,163,36
74269,47,9
74271,32,6
74272,40,66
74274,283,46
74275,127,29
74277,43,7
74279,39,3
74280,230,120
74281,1079,72
74284,42,5
74285,146,19
74286,77,8
74287,148,9
74288,337,176
74290,47,21
74292,106,23
74293,135,5
74296,65,9
74299,40,3
74305,194,7
74306,20,8
74307,7,11
74313,158,86
74316,12,4
74318,111,178
74319,26,20
74322,28,6
74325,16,4
74326,15,24
74328,45,4
74329,27,6
74332,114,23
74335,10,3
74336,162,270
74337,131,20
74339,484,17
74347,120,96
74348,180,8
74349,85,12
74350,5,5
74351,38,9
74352,321,150
74354,400,117
74356,28,3
74357,90,8
74359,37,11
74363,4,5
74367,17,6
74372,3,3
74373,15,10
74377,109,164
74379,44,5
74382,286,113
74384,91,163
74385,12,7
74387,34,9
74389,46,6
74390,155,97
74394,3,4
74396,20,3
74397,38,17
74408,8,4
74411,44,6
74412,1106,145
74414,7,3
74416,98,5
74419,21,5
74420,5,9
74422,838,150
74428,60,5
74429,95,20
74431,26,23
74432,90,13
74435,80,19
74441,16,5
74443,11,4
74452,32,8
74453,58,16
74454,4,3
74455,36,3
74457,110,5
74460,15,3
74461,115,4
74463,82,13
74464,92,44
74466,119,52
74467,40,4
74468,160,17
74481,34,7
74483,85,10
74484,276,189
74486,169,108
74487,25,14
74489,22,13
74491,51,62
74495,200,4
74505,90,24
74507,245,59
74509,54,8
74510,5,4
74516,110,9
74517,333,12
74518,71,27
74523,20,46
74524,48,10
74525,375,33
74526,114,67
74530,97,13
74532,36,14
74533,50,4
74534,108,79
74536,57,8
74537,70,4
74538,80,4
74539,22,6
74540,181,6
74541,38,5
74542,14,8
74543,139,55
74545,249,36
74546,258,42
74548,202,29
74550,15,7
74551,9,4
74552,27,3
74555,61,14
74556,22,3
74558,140,147
74559,350,158
74561,290,33
74562,160,32
74563,69,8
74565,156,49
74568,209,22
74570,110,47
74573,43,14
74576,85,21
74577,63,7
74578,114,12
74580,116,51
74582,111,13
74584,7,3
74585,74,23
74586,63,4
74588,73,5
74589,181,50
74591,152,19
74593,1763,"1,163"
74594,152,27
74596,58,10
74598,40,9
74600,213,184
74604,82,6
74605,60,5
74606,202,25
74607,59,5
74608,7,3
74609,11,14
74610,902,268
74617,206,12
74618,39,4
74619,12,3
74621,20,6
74625,63,46
74627,20,5
74630,88,34
74631,680,5
74636,50,20
74637,37,7
74638,230,74
74642,230,32
74643,11,42
74644,30,6
74647,93,11
74648,25,6
74649,496,33
74651,331,25
74654,22,23
74657,462,199
74658,25,11
74659,64,14
74661,57,3
74662,73,68
74663,77,8
74672,200,34
74673,3,5
74674,44,12
74675,49,4
74676,13,4
74680,89,75
74682,36,12
74688,500,244
74691,26,14
74693,258,67
74694,202,93
74695,8,7
74696,12,5
74698,235,168
74702,75,16
74703,23,5
74707,224,16
74709,574,268
74710,25,3
74712,15,7
74713,12,4
74714,27,4
74715,20,60
74716,30,5
74717,90,17
74719,20,4
74720,52,17
74723,19,7
74726,31,15
74727,70,16
74729,40,19
74730,120,10
74731,495,26
74741,210,16
74743,6,4
74747,12,4
74748,21,12
74752,4,3
74755,27,3
74759,155,21
74761,150,40
74762,521,234
74768,122,91
74770,27,32
74771,26,11
74773,63,6
74774,92,4
74775,27,11
74776,40,3
74778,108,35
74782,26,17
74783,75,23
74784,1079,3
74788,6,5
74789,13,5
74793,68,51
74796,35,23
74797,166,50
74798,15,11
74799,18,16
74800,40,9
74803,14,4
74808,79,5
74809,2070,5
74812,42,3
74813,106,27
74814,55,10
74815,60,9
74820,8,3
74821,16,8
74823,99,18
74824,46,12
74827,130,6
74829,30,10
74832,55,12
74833,159,10
74834,10,3
74836,57,29
74839,330,5
74840,150,41
74847,58,41
74849,436,30
74850,94,55
74852,111,11
74855,198,5
74857,193,83
74858,25,23
74859,94,93
74860,20,3
74863,77,4
74869,123,25
74874,87,147
74876,22,7
74879,84,13
74880,37,24
74881,37,5
74882,68,16
74884,178,37
74885,40,19
74887,8,6
74889,11,3
74890,65,18
74891,9,4
74892,38,19
74893,234,55
74895,148,10
74899,80,7
74901,861,233
74902,112,5
74903,35,11
74908,181,6
74909,23,14
74910,25,6
74914,18,3
74915,344,4
74916,272,44
74918,80,14
74919,1194,"1,310"
74920,14,6
74921,5,4
74924,3501,72
74927,1200,157
74929,36,26
74934,8,20
74938,111,14
74939,65,13
74940,1867,569
74941,31,6
74942,54,10
74944,98,47
74945,43,7
74947,20,11
74948,29,23
74952,135,70
74953,305,196
74955,19,5
74958,482,105
74960,82,23
74961,1086,88
74965,88,21
74967,226,67
74968,149,4
74969,93,43
74970,13,12
74971,122,24
74974,40,4
74975,47,6
74976,168,42
74983,79,238
74984,245,11
74989,100,57
74990,48,25
74993,175,9
74995,24,8
74997,12,3
74998,42,8
74999,23,9
75001,50,24
75002,14,5
75004,172,64
75005,197,11
75007,54,5
75008,25,6
75009,19,32
75014,132,82
75015,6,4
75016,500,53
75017,11,4
75019,59,19
75022,120,44
75028,239,117
75029,118,27
75030,9,5
75031,19,5
75033,723,194
75036,57,16
75037,32,6
75038,65,38
75040,77,34
75042,155,13
75043,119,8
75047,21,3
75048,46,7
75049,13,39
75055,40,24
75056,216,24
75058,89,9
75063,360,170
75065,44,6
75067,227,8
75068,47,11
75070,11,3
75073,28,8
75074,95,77
75075,47,4
75077,6,3
75078,79,3
75079,323,100
75080,133,117
75081,20,48
75082,25,5
75083,82,3
75084,64,3
75085,27,5
75086,275,6
75089,1353,199
75093,67,3
75094,343,3
75096,364,21
75104,50,6
75105,34,21
75111,12,3
75113,109,8
75114,69,17
75115,6,3
75116,25,11
75117,240,20
75119,270,11
75120,687,157
75121,66,34
75124,109,65
75125,206,91
75126,101,22
75127,93,24
75128,55,14
75130,160,67
75132,80,11
75134,80,8
75136,680,20
75137,33,44
75139,53,21
75142,90,11
75144,75,6
75146,20,9
75147,35,3
75148,75,22
75149,82,56
75150,198,78
75151,1793,329
75152,870,40
75154,132,48
75155,246,7
75156,145,24
75157,23,3
75158,19,6
75161,642,227
75162,62,22
75163,248,8
75165,11,5
75166,75,7
75168,28,20
75171,102,51
75172,124,70
75176,59,4
75178,152,8
75179,26,12
75180,274,95
75181,464,125
75183,145,50
75186,153,5
75189,4,23
75190,172,93
75193,98,16
75200,103,14
75201,250,62
75202,46,33
75204,84,20
75205,112,14
75207,47,33
75209,34,4
75216,194,22
75217,127,49
75218,277,19
75219,134,88
75222,34,21
75223,141,54
75225,19,4
75227,263,99
75228,8,8
75230,873,180
75232,70,35
75234,130,12
75236,17,36
75238,300,33
75241,603,151
75242,49,27
75244,400,101
75245,125,50
75247,192,90
75252,2524,719
75253,62,7
75254,149,54
75256,23,5
75258,26,4
75259,15,17
75261,44,15
75262,459,68
75263,14,4
75267,232,29
75268,292,57
75271,67,29
75274,130,167
75276,48,36
75280,34,20
75282,13,3
75284,11,6
75285,74,15
75290,96,15
75291,180,41
75295,428,243
75296,30,6
75297,34,6
75298,46,20
75300,214,126
75301,71,59
75303,4,3
75304,60,20
75305,27,10
75306,18,9
75307,210,34
75308,166,61
80001,34,4
80002,136,9
80004,168,44
80007,20,6
80009,25,4
80011,18,5
80015,28,15
80018,56,13
80022,40,23
80023,27,40
80024,21,6
80028,28,6
80030,6,4
80032,20,11
80036,24,30
80037,26,9
80040,38,11
80043,65,35
80046,90,12
80049,15,3
80050,104,31
80051,57,16
80055,83,35
80057,360,128
80058,68,3
80059,84,32
80065,19,3
80067,28,13
80071,8,3
80072,50,3
80073,122,6
80076,158,26
80079,317,6
80080,21,7
80083,53,36
80084,13,3
80085,83,7
80087,24,4
80088,112,14
80089,25,16
80090,136,26
80092,126,21
80094,19,17
80095,3,3
80096,100,4
80099,16,4
80104,80,29
80106,3,5
80107,153,35
80110,219,77
80111,225,6
80113,111,49
80115,1058,10
80116,183,104
80119,22,21
80120,103,8
80122,50,25
80123,505,197
80125,3,60
80126,57,5
80127,51,56
80129,5,4
80130,34,9
80132,79,3
80134,30,8
80135,6,8
80136,326,18
80137,155,52
80138,32,7
80139,812,16
80140,144,10
80142,204,10
80150,13,9
80155,175,6
80161,44,14
80162,56,15
80164,100,4
80165,62,13
80167,106,14
80168,22,7
80173,120,54
80177,52,16
80178,18,4
80181,240,58
80182,200,106
80183,22,4
80185,50,11
80188,677,8
80191,31,4
80192,282,73
80196,89,49
80200,4,3
80201,297,6
80203,596,100
80205,100,64
80210,47,81
80212,15,7
80215,62,13
80216,288,62
80217,16,15
80218,18,7
80224,253,171
80225,39,5
80226,12,4
80229,17,6
80230,19,16
80231,236,88
80234,27,8
80235,194,107
80236,24,6
80237,66,13
80238,161,52
80240,82,17
80242,85,15
80243,620,42
80248,30,7
80250,52,6
80254,75,92
80255,21,72
80258,19,43
80262,309,29
80264,80,8
80268,26,11
80270,39,9
80273,43,3
80275,43,7
80276,17,15
80280,928,4
80284,183,58
80285,10,3
80287,26,10
80288,8,3
80289,77,15
80291,17,3
80298,30,3
80304,151,30
80307,130,21
80308,131,78
80311,5,4
80312,13,3
80313,30,10
80317,219,33
80318,315,60
80322,213,18
80324,87,20
80326,38,14
80327,267,81
80329,74,18
80331,3,10
80333,68,8
80334,282,50
80335,37,10
80336,7,6
80338,144,40
80340,83,6
80342,78,26
80348,143,34
80349,60,20
80351,100,10
80354,39,5
80358,57,8
80359,243,38
80363,300,64
80366,55,9
80369,56,7
80370,43,37
80371,10,13
80372,64,7
80374,32,20
80375,115,25
80376,80,18
80378,123,7
80381,124,53
80382,87,5
80384,61,6
80386,76,25
80389,9,6
80391,24,4
80392,990,10
80393,173,24
80396,90,40
80399,72,13
80400,61,14
80403,22,10
80405,344,285
80409,34,5
80410,1861,9
80412,122,6
80413,560,3
80415,210,3
80416,26,4
80417,43,8
80418,26,4
80420,762,42
80422,412,63
80426,33,8
80429,6,4
80431,261,93
80433,148,32
80434,17,5
80436,3,3
80437,117,3
80442,22,3
80443,29,3
80444,15,26
80448,234,10
80450,129,66
80451,33,8
80455,90,118
80456,74,9
80458,298,9
80460,202,69
80461,15,10
80466,62,6
80468,150,13
80470,86,19
80471,87,25
80472,23,8
80473,12,5
80475,38,3
80484,196,27
80486,42,5
80487,67,11
80488,65,4
80490,551,7
80492,186,71
80495,162,15
80497,43,14
80498,101,11
80499,87,26
80501,130,50
80503,39,3
80506,41,11
80507,34,6
80508,5,4
80509,176,12
80510,142,12
80514,46,19
80515,20,23
80517,22,10
80519,157,11
80520,55,28
80521,14,7
80522,360,7
80523,59,28
80527,129,35
80530,27,60
80532,175,69
80535,27,5
80536,216,34
81002,142,34
81003,337,34
81004,389,45
81005,115,25
81006,700,269
81007,51,6
81009,289,67
81010,35,3
81012,153,5
81016,214,49
81020,9,7
81021,10,21
81022,28,3
81023,52,6
81026,30,18
81028,107,3
81029,95,224
81030,160,12
81031,48,7
81032,159,9
81033,38,3
81034,80,41
81036,30,10
81037,107,133
81038,794,141
81039,42,45
81040,35,6
81046,23,6
81050,19,4
81051,46,44
81052,137,28
81055,453,64
81056,135,9
81057,80,13
81058,74,30
81059,25,7
81060,26,3
81062,25,5
81063,49,26
81065,16,8
81066,429,4
81067,58,29
81068,8,3
81071,60,4
81073,175,24
81074,35,10
81075,428,103
81076,273,52
81078,77,21
81079,51,11
81080,426,20
81082,36,3
81087,45,6
81090,11,3
81091,112,24
81095,138,51
81097,843,465
81099,10,17
81100,196,93
81101,42,19
81103,57,28
81104,352,25
81108,38,46
81109,17,7
81111,132,3
81114,48,7
81118,40,6
81119,11,32
81123,212,20
81125,11,8
81126,189,21
81127,96,6
81128,383,51
81130,73,9
81137,110,12
81138,23,9
81139,8,3
81143,116,6
81144,78,39
81145,726,36
81149,168,48
81151,78,44
81155,103,25
81157,28,8
81158,57,11
81160,63,13
81164,161,55
81166,105,38
81170,31,6
81175,48,25
81176,227,17
81177,100,25
81179,220,29
81181,196,84
81182,69,9
81183,74,18
81186,225,109
81189,32,5
81193,39,10
81194,20,11
81195,1496,3
81196,8,6
81197,39,3
81198,255,77
81199,6,5
81200,521,254
81202,13,10
81203,195,10
81206,572,33
81207,299,70
81208,90,20
81210,184,254
81211,113,39
81212,10,5
81213,81,5
81214,140,32
81217,250,4
81218,67,15
81220,109,3
81221,54,9
81225,34,7
81226,101,4
81230,88,35
81232,39,16
81233,74,37
81235,170,64
81236,27,19
81237,40,12
81238,4,3
81239,63,7
81240,525,196
81241,13,14
81242,74,27
81243,255,15
81244,8,7
81246,21,5
81247,166,38
81251,172,67
81258,52,30
81260,175,13
81261,105,57
81265,10,4
81267,19,6
81269,46,5
81271,42,3
81272,80,22
81275,40,8
81278,122,23
81279,150,62
81283,165,48
81284,42,25
81286,13,6
81288,35,14
81289,1593,26
81292,41,28
81293,86,14
81294,43,6
81295,47,7
81296,24,16
81298,23,7
81299,870,14
81304,250,76
81306,27,17
81307,350,7
81308,29,3
81309,35,7
81310,55,7
81312,122,36
81316,31,4
81317,154,87
81318,30,20
81319,31,37
81320,200,204
81323,11,3
81325,858,117
81329,44,11
81330,10,8
81331,76,19
81336,73,27
81337,3,7
81338,229,9
81340,21,8
81341,15,4
81342,34,15
81343,68,39
